freq,mag,phase
1e-20,289.8,-180
1.0386e-19,289.8,-180
1.0386e-15,289.8,-180
1.0386e-12,289.8,-180
1.0386e-10,289.8,-180
1.0386e-09,289.8,-180
1.2112e-09,289.79,-180
1.4125e-09,289.79,-180
1.6472e-09,289.79,-180
1.9209e-09,289.79,-180
2.2401e-09,289.78,-180
2.6124e-09,289.78,-180
3.0465e-09,289.77,-180
3.5528e-09,289.76,-180
4.1432e-09,289.74,-180
4.8317e-09,289.72,-180
5.6347e-09,289.7,-180
6.5711e-09,289.66,-180
7.663e-09,289.61,-180
8.9365e-09,289.55,-180
1.0422e-08,289.46,-180
1.2153e-08,289.34,-180
1.4173e-08,289.18,-180
1.6528e-08,288.96,-180
1.9275e-08,288.68,-180
2.2478e-08,288.31,-180
2.6213e-08,287.83,-180
3.057e-08,287.22,-180
3.565e-08,286.45,-180
4.1574e-08,285.5,-180
4.8483e-08,284.36,-180
5.6539e-08,283.01,-180
6.5935e-08,281.46,-180
7.6892e-08,279.72,-180
8.967e-08,277.8,-180
1.0457e-07,275.73,-180
1.2195e-07,273.52,-180
1.4221e-07,271.21,-180
1.6585e-07,268.82,-180
1.9341e-07,266.35,-180
2.2555e-07,263.84,-180
2.6303e-07,261.28,-180
3.0674e-07,258.7,-180
3.5772e-07,256.09,-180
4.1716e-07,253.47,-180
4.8648e-07,250.84,-180
5.6733e-07,248.19,-180
6.6161e-07,245.54,-180
7.7155e-07,242.88,-180
8.9977e-07,240.22,-180
1.0493e-06,237.56,-180
1.2237e-06,234.89,-180
1.6422e-06,229.79,-180
5.193e-06,209.8,-180
1.6422e-05,189.8,-180
5.193e-05,169.8,-180
0.00016422,149.8,-180
0.0005193,129.8,-180.01
0.0016422,109.8,-180.02
0.005193,89.8,-180.07
0.016422,69.8,-180.24
0.05193,49.799,-180.74
0.0673,45.295,-180.96
0.078483,42.624,-181.12
0.091526,39.952,-181.31
0.10674,37.281,-181.53
0.12447,34.609,-181.78
0.14516,31.937,-182.08
0.16928,29.264,-182.42
0.19741,26.59,-182.83
0.23022,23.916,-183.3
0.26847,21.24,-183.85
0.31309,18.562,-184.48
0.36512,15.881,-185.23
0.42579,13.196,-186.1
0.49655,10.506,-187.11
0.57907,7.809,-188.29
0.6753,5.1015,-189.67
0.78752,2.3792,-191.27
0.91839,-0.36463,-193.14
1.071,-3.1406,-195.31
1.249,-5.9667,-197.84
1.352,-7.4528,-199.3
1.5392,-9.9512,-201.92
1.7147,-12.132,-204.35
1.8761,-14.068,-206.52
2.022,-15.825,-208.39
2.1522,-17.466,-209.91
2.267,-19.053,-211
2.3673,-20.655,-211.53
2.4542,-22.351,-211.28
2.529,-24.245,-209.78
2.5931,-26.473,-206.01
2.6477,-29.186,-197.5
2.694,-32.222,-178.1
2.7332,-33.484,-141.89
2.773,-30.277,-105.73
2.8216,-24.634,-88.231
2.881,-18.284,-86.549
2.9007,-16.212,-89.206
2.9541,-10.589,-107.78
2.9993,-7.3751,-143.32
3.0453,-8.3307,-179.91
3.1013,-11.184,-201.47
3.1698,-13.846,-212.36
3.2541,-16.08,-218.66
3.3581,-18.021,-223.01
3.4873,-19.812,-226.56
3.6488,-21.572,-229.94
3.8524,-23.418,-233.54
4.1117,-25.482,-237.7
4.2269,-26.348,-239.47
4.557,-28.785,-244.41
4.8492,-31.01,-248.67
5.1046,-33.131,-252.34
5.3257,-35.22,-255.46
5.5155,-37.332,-258.08
5.6775,-39.518,-260.23
5.8148,-41.835,-261.95
5.9308,-44.359,-263.22
6.0283,-47.204,-264.01
6.1101,-50.578,-264.11
6.1785,-54.931,-262.91
6.2356,-61.632,-257.21
6.2832,-75.203,-180
