freq,mag,phase,magperfund
0,0.056512,90,0.018212
60,310.29,120.25,100
120,0.043561,-39.281,0.014039
180,20.383,165.76,6.5691
240,0.037346,1.0712,0.012036
300,12.257,49.177,3.9501
360,0.014065,-58.898,0.0045327
420,0.010739,-36.718,0.0034608
480,0.0091723,-27.818,0.002956
540,0.0080587,-22.768,0.0025971
600,0.0071974,-19.368,0.0023196
660,0.0065098,-16.888,0.002098
720,0.005945,-14.933,0.001916
780,0.0054705,-13.363,0.001763
840,0.0050651,-12.047,0.0016324
900,0.0047184,-10.893,0.0015206
960,0.0044189,-9.9646,0.0014241
