time, ch1, ch2, ch3, ch4
-4.9995,1.78,1.46,0.96,4.78
-4.9994,1.82,1.42,0.96,4.78
-4.9993,1.78,1.46,1,4.74
-4.9992,1.86,1.42,0.96,4.78
-4.9991,1.82,1.42,0.96,4.74
-4.999,1.82,1.42,1.04,4.82
-4.9989,1.82,1.42,0.96,4.78
-4.9988,1.82,1.46,0.96,4.82
-4.9987,1.82,1.42,1,4.82
-4.9986,1.82,1.46,0.96,4.78
-4.9985,1.86,1.42,0.96,4.82
-4.9984,1.78,1.46,0.96,4.78
-4.9983,1.78,1.38,1,4.78
-4.9982,1.82,1.42,0.96,4.82
-4.9981,1.82,1.42,0.92,4.78
-4.998,1.78,1.42,1,4.82
-4.9979,1.86,1.42,0.92,4.78
-4.9978,1.82,1.46,0.96,4.78
-4.9977,1.82,1.42,1,4.82
-4.9976,1.82,1.42,0.92,4.86
-4.9975,1.82,1.42,0.96,4.78
-4.9974,1.86,1.42,0.96,4.74
-4.9973,1.86,1.42,1,4.78
-4.9972,1.86,1.46,0.88,4.82
-4.9971,1.82,1.42,0.96,4.82
-4.997,1.82,1.42,0.96,4.82
-4.9969,1.82,1.46,0.92,4.82
-4.9968,1.86,1.42,0.96,4.78
-4.9967,1.82,1.46,0.96,4.82
-4.9966,1.82,1.42,0.92,4.82
-4.9965,1.86,1.42,1,4.78
-4.9964,1.86,1.42,1,4.78
-4.9963,1.86,1.46,0.92,4.78
-4.9962,1.86,1.46,1,4.82
-4.9961,1.82,1.46,0.96,4.82
-4.996,1.82,1.42,0.96,4.78
-4.9959,1.86,1.5,1,4.82
-4.9958,1.82,1.46,0.96,4.78
-4.9957,1.86,1.42,1,4.82
-4.9956,1.82,1.46,1,4.86
-4.9955,1.82,1.5,0.96,4.82
-4.9954,1.86,1.46,0.96,4.78
-4.9953,1.86,1.5,0.96,4.78
-4.9952,1.82,1.5,1,4.78
-4.9951,1.82,1.5,0.96,4.86
-4.995,1.82,1.46,0.96,4.78
-4.9949,1.86,1.46,0.96,4.82
-4.9948,1.86,1.42,0.96,4.78
-4.9947,1.78,1.42,0.96,4.78
-4.9946,1.82,1.46,0.92,4.78
-4.9945,1.82,1.42,0.92,4.78
-4.9944,1.86,1.42,0.88,4.82
-4.9943,1.86,1.46,0.92,4.74
-4.9942,1.86,1.5,0.96,4.74
-4.9941,1.82,1.42,0.96,4.78
-4.994,1.86,1.42,0.96,4.78
-4.9939,1.82,1.42,0.96,4.78
-4.9938,1.82,1.46,0.96,4.82
-4.9937,1.82,1.38,1,4.78
-4.9936,1.78,1.46,0.96,4.78
-4.9935,1.86,1.5,1,4.82
-4.9934,1.82,1.42,0.92,4.78
-4.9933,1.86,1.46,0.88,4.78
-4.9932,1.86,1.42,0.96,4.82
-4.9931,1.82,1.46,0.96,4.78
