time, math
-5,1.42
-4.9999,1.46
-4.9998,1.54
-4.9997,1.5
-4.9996,1.46
-4.9995,1.5
-4.9994,1.5
-4.9993,1.5
-4.9992,1.5
-4.9989,1.58
-4.998,0.7
-4.996,0.74
-4.994,0.62
-4.992,0.9
-4.99,1.54
-4.988,1.5
-4.986,1.54
-4.984,1.54
-4.982,1.5
-4.98,1.5
-4.978,1.38
-4.976,1.58
-4.974,1.5
-4.972,1.54
-4.97,1.5
-4.968,1.46
-4.966,1.5
-4.964,1.54
-4.962,1.42
-4.96,1.38
-4.958,1.54
-4.956,1.38
-4.954,1.5
-4.952,0.7
-4.95,0.78
-4.948,0.7
-4.946,0.74
-4.944,0.74
-4.942,0.74
-4.94,1.42
-4.938,1.3
-4.936,1.58
-4.934,1.46
-4.932,1.54
-4.93,1.5
-4.928,1.46
-4.926,1.46
-4.924,1.54
-4.922,1.5
-4.92,1.46
-4.918,1.46
-4.916,1.62
-4.914,1.5
-4.912,1.5
-4.91,1.54
-4.908,1.54
-4.906,0.66
-4.904,0.62
-4.902,0.74
-4.9,0.7
-4.898,0.66
-4.896,0.74
-4.894,0.74
-4.892,0.66
-4.89,0.9
-4.888,0.74
-4.886,1.34
-4.884,1.54
-4.882,1.66
-4.88,1.5
-4.878,1.54
-4.876,1.46
-4.874,1.54
-4.872,1.54
-4.87,1.62
-4.868,1.5
-4.866,1.54
-4.864,1.5
-4.862,1.3
-4.86,0.7
-4.858,0.66
-4.856,0.74
-4.854,0.78
-4.852,0.7
-4.85,0.82
-4.848,0.66
-4.846,0.82
-4.844,0.66
-4.842,0.78
-4.84,0.74
-4.838,0.66
-4.836,0.74
-4.834,1.5
-4.832,1.54
-4.83,1.54
-4.828,1.5
-4.826,1.54
-4.824,1.5
-4.822,1.54
-4.82,1.54
-4.818,1.54
-4.816,0.74
-4.814,0.7
-4.812,0.78
-4.81,0.7
-4.808,0.7
-4.806,0.74
-4.804,0.78
-4.802,0.7
-4.8,0.7
-4.798,0.66
-4.796,0.7
-4.794,0.74
-4.792,0.74
-4.79,0.7
-4.788,0.78
-4.786,0.66
-4.784,1.46
-4.782,1.34
-4.78,1.5
-4.778,1.46
-4.776,1.58
-4.774,1.46
-4.772,1.54
-4.77,0.66
-4.768,0.7
-4.766,0.62
-4.764,0.74
-4.762,0.78
-4.76,0.7
-4.758,0.74
-4.756,0.82
-4.754,0.66
-4.752,0.66
-4.75,0.7
-4.748,0.78
-4.746,0.74
-4.744,0.66
-4.742,0.66
-4.74,0.7
-4.738,0.7
-4.7359,0.7
-4.7339,0.66
-4.7319,0.66
-4.7299,0.94
-4.7279,1.46
-4.7259,1.42
-4.7239,0.94
-4.7219,0.66
-4.7199,0.74
-4.7179,0.86
-4.7159,0.74
-4.7139,0.66
-4.7119,0.78
-4.7099,0.74
-4.7079,0.74
-4.7059,0.74
-4.7039,0.78
-4.7019,0.7
-4.6999,0.74
-4.6979,0.7
-4.6959,0.7
-4.6939,0.74
-4.6919,0.62
-4.6899,0.66
-4.6879,0.74
-4.6859,0.74
-4.6839,0.74
-4.6819,0.74
-4.6799,0.66
-4.6779,0.26
-4.6759,0.14
-4.6739,0.54
-4.6719,0.74
-4.6699,0.62
-4.6679,0.7
-4.6659,0.74
-4.6639,0.66
-4.6619,0.78
-4.6599,0.66
-4.6579,0.78
-4.6559,0.74
-4.6539,0.74
-4.6519,0.7
-4.6499,0.7
-4.6479,0.7
-4.6459,0.78
-4.6439,0.7
-4.6419,0.74
-4.6399,0.62
-4.6379,0.82
-4.6359,0.66
-4.6339,-0.099844
-4.6319,-0.059844
-4.6299,-0.059844
-4.6279,-0.099844
