time, ch1
-5,-3.76
-4.9999,-3.72
-4.9998,-3.72
-4.9997,-3.72
-4.9996,-3.72
-4.9995,-3.72
-4.9994,-3.68
-4.9993,-3.76
-4.9992,-3.72
-4.9991,-3.68
-4.999,-3.72
-4.9989,-3.76
-4.9988,-3.72
-4.9987,-3.72
-4.9986,-3.72
-4.9985,-4.56
-4.9984,-4.48
-4.9983,-4.52
-4.9982,-4.52
-4.9981,-4.52
-4.998,-4.52
-4.9979,-4.52
-4.9978,-4.52
-4.9977,-4.52
-4.9976,-4.52
-4.9975,-4.56
-4.9974,-4.52
-4.9973,-4.56
-4.9972,-4.56
-4.9971,-4.56
-4.997,-4.52
-4.9969,-4.48
-4.9968,-4.52
-4.9967,-4.56
-4.9966,-4.52
-4.996,-4.48
-4.994,-4.52
-4.992,-4.52
-4.99,-4.52
-4.988,-4.52
-4.986,-4.52
-4.984,-4.52
-4.982,-4.56
-4.98,-3.72
-4.978,-4.52
-4.976,-4.56
-4.974,-3.72
-4.972,-4.48
-4.97,-4.52
-4.968,-3.72
-4.966,-4.52
-4.964,-4.48
-4.962,-3.76
-4.96,-4.56
-4.958,-4.52
-4.956,-3.8
-4.954,-4.52
-4.952,-4.52
-4.95,-3.88
-4.948,-4.48
-4.946,-4.56
-4.944,-4.52
-4.942,-4.52
-4.94,-4.56
-4.938,-4.48
-4.936,-3.72
-4.934,-4.52
-4.932,-4.52
-4.93,-3.72
-4.928,-4.52
-4.926,-4.52
-4.924,-3.72
-4.922,-4.52
-4.92,-4.56
-4.918,-3.72
-4.916,-4.56
-4.914,-4.52
-4.912,-3.72
-4.91,-4.48
-4.908,-4.52
-4.906,-3.76
-4.904,-4.52
-4.902,-4.52
-4.9,-4
-4.898,-4.52
-4.896,-4.52
-4.894,-4.52
-4.892,-4.56
-4.89,-4.52
-4.888,-4.56
-4.886,-3.76
-4.884,-4.52
-4.882,-4.52
-4.88,-3.72
-4.878,-4.52
-4.876,-4.52
-4.874,-3.72
-4.872,-4.52
-4.87,-4.52
-4.868,-3.72
-4.866,-4.44
-4.864,-4.6
-4.862,-3.76
-4.86,-4.48
